rating,date,option,content
5,2025.05.19,,"우디향 러버라 앰버그레이스를 원했지만
센슈얼화이트제품을 받았어요
지속력이 생각보다약해서 아쉽지만
예쁜용기에 은은한 머스크향이
마음에들어요"
5,2025.05.25,,"체험단이라 랜덤인걸 알지만 장미향을 좋아해서 내심 로지 아우라를 기대했는데 엠버 그레이스로 받게 됐어요.
시트러스 우디향이라 어떤 느낌일까 궁금했는데 생각보다 무겁지 않은 향이라 크게 호불호없이 쓰기 좋은 모던한 느낌이었어요. TOP노트에 비터 오렌지와 베르가못이 있어서인지 첫 향은 샤워코롱같은 가벼우면서 산뜻한 오렌지 향이 나다가 진저와 우디향이 뒤따라와 적당하게 무게감을 잡아주는 느낌이예요. 오드퍼퓸치고는 발향이 센 편은 아니라 은은하게 느껴져서 부담스럽지 않더라구요. 사계절 무난하게 어울릴 향이라고 생각됩니다.
디자인이나 배색처리된 부분은 마음에 드는데 뚜껑 닫을 때 안쪽 사각 테두리 모양에 맞게 맞물려야 하다보니 대충 눌러닫지는 못한 점은 조금 불편했어요."
5,2025.05.25,,"음 일단 제가 받은 제품은 포장 박스도 찌그려져 배송와서 불안했는데 겉은 괜찮아서 안심하고 열렸다가 안에 고정 상자가 찌그려져 있었어요.
근데 막 깨진건 아니여서 패스하고
제가 받은 향은 여름보단 겨울이 떠오르는 향이였고 여름철에는 좀 맞지 않을 것 같다란 느낌을 받았습니다
이상하게 전 계절마다 선호하는 향이 달라져서 겨울에 한번뿌려보고 안맞으면 디퓨저로 활용할 예정입니다"
5,2025.05.25,,"전에 올영체험단으로 어노브 헤어 퍼퓸 미스트 로지아우라 받아서 잘 사용 중이었는데, 이번에 오드퍼퓸이 나왔길래 체험단 신청해 봤어요! 저는 이번에도 #로지아우라 향으로 받아봤습니다💗

로지아우라 향이 너무너무 좋았어서 향수로 꼭 나왔으면 한다고 리뷰에 적었었는데 이렇게 나오다니 너무 좋았어요👍🏻

사실 이미 로지아우라를 갖고있으니 이번에는 오드퍼퓸의 새로운 향들이 궁금했는데, 또 로지아우라로 받아서 약간 아쉽지만😂 좋아하는 향이니까 또 괜찮다 생각 중이에요🥹

다른 향들도 너무 궁금해서 올영 매장가서 3가지 시향해보고 왔는데, 이번에 퓨어오차드 향도 너무 좋더라구요..🍃🤍 그리고 올영에서 케이스를 꺼냈을 때, 어떤 향인지 바닥에 설명이 간략하게 적혀있어서 이 부분도 넘 좋았어요!ㅎㅎ

🌸 로지아우라는 정말 뿌린 그 순간 너무 향기롭고, 기분 좋아지는 향이에요. 약간 체리블라썸이라는 단어가 생각나는 그런 달콤하면서도 깨끗한 향이에요! 사랑스러운 이미지의 여성분들에게 너무 잘 어울릴 것 같은 향이에요.

헤어 퍼퓸일 때는 못 느꼈는데, 오드퍼퓸으로 뿌려보니까 향은 동일한데 뭔가 풍선껌향 같다고 느껴지더라구요! 개인적으로 향수도 좋은데, 특히 헤어에 뿌렸을 때 더욱 잘 어울리고 좋은 향 같다고 느꼈어요🩷 막 씻고 나온듯한 달달하고 플로럴한 느낌의 향+달달한 헤어 트린트먼트같은 향이라 뭔가 제가 그렇게 느낀 것 같아요!

지속력은 헤어 퍼퓸보다는 확실히 좀 더 좋긴 한데, 그래도 약간 아쉽긴 했어요🥺 근데 강하지 않고 은은하게 향기로워서 좋아하시는 분들도 계실 것 같아요.

케이스는 이번에도 역시 존예.. 헤어 퍼퓸보다 딱 세워두기 편해서 더 좋았고, 둘다 아주 예쁩니다🌸"
5,2025.05.24,,"일단 우선 이 아이는 올영 체험단을 통해 만나게 된 아이예요. 개인적으로 어노브는 헤어 아이템만 써봤는데 향수는 이번에 처음 나온 거 같네요. 향은 랜덤이었고 오우드 인디고로 받았어요.

용량은 25ml로 케이스나 용기에 비해 미니멀한 용량이예요.

용량이 적은 향수는 가격적인 부분이거나 다른 향수와 레이어드 해서 사용하거나 휴대하면서 사용하려고 구매하지 않을까 하는데 이 아이는 미니멀한 용량이긴 하지만 휴대하기는 어려워 보이네요.

관능까지는 모르겠는데 우디향이예요. 뭔가 가볍진 않으면서 살짝 남성 베이스인 거 같으면서도 뭔가 중성적인.

지속력은 생각 보다 응근 오래였는.

무엇보다 용량이 다양해 초이스할 수 있었으면 해요.

다른 향들도 궁금해지네요. 올영 매장에도 있는 아이 같은데 한 번 다 맡아보고 구매해봐야겠어요."
5,2025.05.20,,"엠버그레이스 향으로 받아보았습니다
평소에 안쓰는 향이고 익숙하지 않은 향취라 그런지
지속력이 엄청 좋더라구요~
엄청 도도한 여자가 쓸 것 같은 느낌
은근 중독성 있어요 !
패키치도 이쁘고 다른향들도 궁금해서 매장가서 퓨어오차드랑 로지아우라 맡아봤는데 개인적으로 프루티한 향을 좋아하는 저는 퓨어오차드 너무 좋더라구요!"
5,2025.05.19,,"- 로지아우라

일단 향수 케이스가 고급스럽고, 예쁩니다.
첫 향은 시트러스한 상큼한 과일 향이 나다가, 점점 장미향이나고, 끝에 머스크향이 은은하게 남습니다.
인공적인 느낌 없이 자연스럽게 퍼집니다.
누구에게나 잘 어울리는 향으로, 지속력도 좋아요."
5,2025.05.19,,"우선 디자인이 너무 이뻐서 솔직히 선물용으로 최고인거같습니당...!

그리고 케이스도 무거워보일 수 있어도 또 생각보다 무거운거도 아니라서 좋은거같아용...!

그리고 향같은경우도 지속력도 좋고 살에 베기는듯한 향? 그런거같아 너무 좋습니다. 무엇보다 싼느낌이아니라 진짜 프레쉬한 느낌으로 프루티향중엔 제일 원탑입니당"
5,2025.05.18,[옵션] 퓨어 오차드 향,"🙌 봄, 여름이랑 잘 어울리는 향수🙌

✅️ 향
진짜 봄, 여름이 생각나는 향입니다.
플로럴에 프루티함이 느껴져서 무겁지 않게 사용할 수 있는 향이라고 느껴져요!
무겁지 않은 상큼 달달 + 싱그러움..?
계속 맡고 있으면 기분 좋아요

✅️ 크기
향수 용기 자체가 큰 편이 아니어서, 들고 다니시면서 뿌리는 분들도 크게 무리 없이 사용하실 수 있을 것 같아요

✅️ 지속력
지속력은 무난무난 했어요!
은은하게 계속 향이 번져서 바람 불 때마다 기분 좋음ㅎㅎ

✅️분사력
분사력도 좋아서 사용할 때 불편하다는 생각은 안들었어요

어노브 자체에서 나오는 헤어퍼퓸도 있으니까 같이 활용하거나 레이어링하면 지속력도 더 올라가고 향도 더 유니크 해질 것 같아용
신상이라서 살까말까 했었는데, 여름 향수로 좋은 제품 찾은 것 같아 맘에 들어요!!!"
5,2025.05.18,[옵션] 앰버 그레이스 향,"어노브가 헤어케어 맛집이라 샴푸부터 헤어 에센스, 노워시 트리트먼트, 헤어 미스트까지 온가족이 찐어노브빠랍니다. 우리 동네 올영매장 메인 진열대에서 엠버 그레이스 향을 시향해보고 우디계열을 좋아하는 제 개취라 구입했어요. 패키징도 박스부터 기존 어노브 패밀리라는 정체성을 살리면서 세련된 느낌이 마음에 들었어요. 오드 퍼퓸답게 지속력도 오래 가고, 사계절 두루 사용하기 좋은 향이면서 남녀 누구나 사용할 수 있는 세련되고 중성적인 우디 향이예요. 다음엔 헤어퍼퓸도 같은 엠버 그레이스향으로 구입하고 싶어요. 더 큰 용량도 출시해 주세요!"
